site,plotID,subplotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded,turnover,nestedness,monthyear
BONA,BONA_009,plot,2017,0,0,0,1.7752406771643154,0.08453527034115788,21,1.7601887587543,0.088009437937715,20,0,0,0,1,0,0,41.854166666666664,0,0,1,41.979166666666664,1.7752406771643154,0.08453527034115788,21,1.4679384995844664,0.14679384995844663,10,plot,not_invaded,0.6758620689655173,0.08555925083143708,2017-08
BONA,BONA_009,plot,2018,0,0,0,1.1005273173389696,0.044021092693558785,25,1.077474032266188,0.0448947513444245,24,0,0,0,1,0,0,43.5,0,0,1,43.6875,1.1005273173389696,0.044021092693558785,25,0.9815550494603399,0.07011107496145284,14,plot,not_invaded,0.6,0.16363636363636364,2018-07
BONA,BONA_011,plot,2017,0,0,0,1.844930247286512,0.097101591962448,19,1.844930247286512,0.097101591962448,19,0,0,0,1,0,0,42.833333333333336,0,0,1,42.833333333333336,1.844930247286512,0.097101591962448,19,1.2931401008902306,0.11755819099002096,11,plot,not_invaded,0.5649717514124294,0.04809357522073645,2017-08
BONA,BONA_011,plot,2018,0,0,0,2.0690294955140964,0.10345147477570482,20,2.0690294955140964,0.10345147477570482,20,0,0,0,1,0,0,38,0,0,1,38,2.0690294955140964,0.10345147477570482,20,1.2359739086527854,0.1123612644229805,11,plot,not_invaded,0.6385542168674698,0.06144578313253012,2018-07
BONA,BONA_012,plot,2017,0,0,0,2.2950613303541916,0.11475306651770958,20,2.2787438145259835,0.11993388497505177,19,0,0,1,0.9961977186311786,0.0038022813688212923,0,10.916666666666666,0.041666666666666664,0,1,10.958333333333334,2.2950613303541916,0.11475306651770958,20,1.9910360739204664,0.18100327944731512,11,plot,not_invaded,0.7625,0.0729978354978355,2017-08
BONA,BONA_012,plot,2018,0,0,0,1.6998439996517158,0.14165366663764298,12,1.6046657206155153,0.14587870187413776,11,0,0,1,0.9652173913043478,0.034782608695652174,0,6.9375,0.25,0,1,7.1875,1.6998439996517158,0.14165366663764298,12,1.6033811438774712,0.17815346043083014,9,plot,not_invaded,0.8048780487804879,0.03825920612147298,2018-07
BONA,BONA_013,plot,2018,0,0,0,1.6953860718701501,0.09418811510389723,18,1.6339776730705358,0.10212360456690849,16,0.3622105571354489,0.18110527856772446,2,0.9840972871842844,0.015902712815715623,0,21.916666666666668,0.3541666666666667,0,1,22.270833333333336,1.6953860718701501,0.09418811510389723,18,1.3422614478415191,0.1342261447841519,10,plot,not_invaded,0.6956521739130435,0.14155712841253792,2018-07
BONA,BONA_014,plot,2018,0,0,0,1.7434027139166022,0.11622684759444014,15,1.7434027139166022,0.11622684759444014,15,0,0,0,1,0,0,41.75,0,0,1,41.75,1.7434027139166022,0.11622684759444014,15,1.1812919590650397,0.11812919590650398,10,plot,not_invaded,0.7058823529411765,0.12268907563025211,2018-07
BONA,BONA_014,plot,2017,0,0,0,2.003055334409052,0.10015276672045259,20,2.003055334409052,0.10015276672045259,20,0,0,0,1,0,0,45.25,0,0,1,45.25,2.003055334409052,0.10015276672045259,20,1.348650667886048,0.10374235906815753,13,plot,not_invaded,0.6918918918918919,0.09137807008529442,2017-08
BONA,BONA_015,plot,2017,0,0,0,1.3630057886831315,0.09086705257887544,15,1.349297189452888,0.09637837067520628,14,0,0,0,1,0,0,17.208333333333332,0,0,1,17.25,1.3630057886831315,0.09086705257887544,15,1.133109274368875,0.12590103048543055,9,plot,not_invaded,0.7368421052631579,0.09074410163339382,2017-08
BONA,BONA_015,plot,2018,0,0,0,1.5236891608658765,0.19046114510823456,8,1.5236891608658765,0.19046114510823456,8,0,0,0,1,0,0,6.3125,0,0,1,6.3125,1.5236891608658765,0.19046114510823456,8,1.501418462069092,0.214488351724156,7,plot,not_invaded,0.8518518518518519,0.042884990253411304,2018-07
BONA,BONA_016,plot,2018,0,0,0,2.020372529738257,0.11884544292577981,17,2.020372529738257,0.11884544292577981,17,0,0,0,1,0,0,48.125,0,0,1,48.125,2.020372529738257,0.11884544292577981,17,1.4315378314849705,0.13013980286227003,11,plot,not_invaded,0.5365853658536586,0.17983254459410267,2018-07
BONA,BONA_017,plot,2017,0,0,0,2.213136258915299,0.096223315605013,23,2.213136258915299,0.096223315605013,23,0,0,0,1,0,0,11.979166666666666,0,0,1,11.979166666666666,2.213136258915299,0.096223315605013,23,1.9671036668989281,0.14050740477849485,14,plot,not_invaded,0.7551020408163265,0.026716141001855286,2017-08
BONA,BONA_017,plot,2018,0,0,0,1.5289515105381617,0.15289515105381618,10,1.5289515105381617,0.15289515105381618,10,0,0,0,1,0,0,11.5625,0,0,1,11.5625,1.5289515105381617,0.15289515105381618,10,1.410934926867281,0.1567705474296979,9,plot,not_invaded,0.7894736842105263,0.07493309545049062,2018-07
