Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
PIMA6,PIMA9,Pimpinella magna L.,NA,Forb/herb,Pimpinella,magna,Pimpinella_magna
PISA,NA,Pimpinella saxifraga L.,solidstem burnet saxifrage,Forb/herb,Pimpinella,saxifraga,Pimpinella_saxifraga
PISAN,NA,Pimpinella saxifraga L. ssp. nigra (Mill.) Gaudin,solidstem burnet saxifrage,Forb/herb,Pimpinella,saxifraga,Pimpinella_saxifraga
PISAS,NA,Pimpinella saxifraga L. ssp. saxifraga,solidstem burnet saxifrage,Forb/herb,Pimpinella,saxifraga,Pimpinella_saxifraga
PIPA,NA,Pinaropappus parvus S.F. Blake,small rocklettuce,Forb/herb,Pinaropappus,parvus,Pinaropappus_parvus
PIRO,NA,Pinaropappus roseus (Less.) Less.,white rocklettuce,Forb/herb,Pinaropappus,roseus,Pinaropappus_roseus
PIROF,NA,Pinaropappus roseus (Less.) Less. var. foliosus (A. Heller) Shinners,white rocklettuce,Forb/herb,Pinaropappus,roseus,Pinaropappus_roseus
PIROR,ACRO2,Achyrophorus roseus Less.,NA,Forb/herb,Achyrophorus,roseus,Achyrophorus_roseus
PIROR,NA,Pinaropappus roseus (Less.) Less. var. roseus,white rocklettuce,Forb/herb,Pinaropappus,roseus,Pinaropappus_roseus
PITE,NA,Pinellia ternata (Thunb.) Makino ex Breitenbach,crowdipper,Forb/herb,Pinellia,ternata,Pinellia_ternata
PICA7,NA,Pinguicula caerulea Walter,blueflower butterwort,Forb/herb,Pinguicula,caerulea,Pinguicula_caerulea
PIIO,NA,Pinguicula ionantha Godfrey,violet butterwort,Forb/herb,Pinguicula,ionantha,Pinguicula_ionantha
PILU2,NA,Pinguicula lutea Walter,yellow butterwort,Forb/herb,Pinguicula,lutea,Pinguicula_lutea
PIMA7,NA,Pinguicula macroceras Link,California butterwort,Forb/herb,Pinguicula,macroceras,Pinguicula_macroceras
PIMAM2,PIVUM,Pinguicula vulgaris L. ssp. macroceras (Link) Calder & Roy L. Taylor,NA,Forb/herb,Pinguicula,vulgaris,Pinguicula_vulgaris
PIMAM2,NA,Pinguicula macroceras Link var. macroceras,California butterwort,Forb/herb,Pinguicula,macroceras,Pinguicula_macroceras
PIMAM2,PIVUM2,Pinguicula vulgaris L. var. macroceras (Link) Herder,NA,Forb/herb,Pinguicula,vulgaris,Pinguicula_vulgaris
PIMAM3,NA,Pinguicula macroceras Link var. microceras (Cham.) Casper,California butterwort,Forb/herb,Pinguicula,macroceras,Pinguicula_macroceras
PIPL,NA,Pinguicula planifolia Chapm.,Chapman's butterwort,Forb/herb,Pinguicula,planifolia,Pinguicula_planifolia
PIPR,NA,Pinguicula primuliflora Alph. Wood & Godfrey,southern butterwort,Forb/herb,Pinguicula,primuliflora,Pinguicula_primuliflora
PIPU4,NA,Pinguicula pumila Michx.,small butterwort,Forb/herb,Pinguicula,pumila,Pinguicula_pumila
PIPU4,PIPUB,Pinguicula pumila Michx. var. buswellii Moldenke,NA,Forb/herb,Pinguicula,pumila,Pinguicula_pumila
PIVI,NA,Pinguicula villosa L.,hairy butterwort,Forb/herb,Pinguicula,villosa,Pinguicula_villosa
PIVU,NA,Pinguicula vulgaris L.,common butterwort,Forb/herb,Pinguicula,vulgaris,Pinguicula_vulgaris
PIVU,PIVUA,Pinguicula vulgaris L. var. americana A. Gray,NA,Forb/herb,Pinguicula,vulgaris,Pinguicula_vulgaris
PICA13,NA,Piperia candida R. Morgan & Ackerman,whiteflower rein orchid,Forb/herb,Piperia,candida,Piperia_candida
PICO8,NA,Piperia colemanii R. Morgan & Glicenstein,Coleman's piperia,Forb/herb,Piperia,colemanii,Piperia_colemanii
PICO9,NA,Piperia cooperi (S. Watson) Rydb.,Cooper's rein orchid,Forb/herb,Piperia,cooperi,Piperia_cooperi
PIEL2,NA,Piperia elegans (Lindl.) Rydb.,elegant piperia,Forb/herb,Piperia,elegans,Piperia_elegans
PIELD2,NA,Piperia elegans (Lindl.) Rydb. ssp. decurtata R. Morgan & Glicenstein,elegant piperia,Forb/herb,Piperia,elegans,Piperia_elegans
PIELE4,HAEL2,Habenaria elegans (Lindl.) Bol.,NA,Forb/herb,Habenaria,elegans,Habenaria_elegans
PIELE4,HAELM,Habenaria elegans (Lindl.) Bol. var. maritima (Greene) Ames,NA,Forb/herb,Habenaria,elegans,Habenaria_elegans
PIELE4,HAGR8,Habenaria greenei Jeps.,NA,Forb/herb,Habenaria,greenei,Habenaria_greenei
PIELE4,NA,Piperia elegans (Lindl.) Rydb. ssp. elegans,elegant piperia,Forb/herb,Piperia,elegans,Piperia_elegans
PIELE4,HAMA4,Habenaria maritima Greene,NA,Forb/herb,Habenaria,maritima,Habenaria_maritima
PIELE4,PIMA3,Piperia maritima (Greene) Rydb.,NA,Forb/herb,Piperia,maritima,Piperia_maritima
PIELE4,HAUNM,Habenaria unalascensis (Spreng.) S. Watson var. maritima (Greene) Correll,NA,Forb/herb,Habenaria,unalascensis,Habenaria_unalascensis
PIELE4,PLUNM,Platanthera unalascensis (Spreng.) Kurtz ssp. maritima (Greene) de Filipps,NA,Forb/herb,Platanthera,unalascensis,Platanthera_unalascensis
PIELE4,PIMU5,Piperia multiflora Rydb.,NA,Forb/herb,Piperia,multiflora,Piperia_multiflora
PIELE4,PLUNM2,Platanthera unalascensis (Spreng.) Kurtz var. maritima (Greene) Correll,NA,Forb/herb,Platanthera,unalascensis,Platanthera_unalascensis
PIEL4,PIELE,Piperia elegans (Lindl.) Rydb. var. elata (Jeps.) Luer,NA,Forb/herb,Piperia,elegans,Piperia_elegans
PIEL4,NA,Piperia elongata Rydb.,denseflower rein orchid,Forb/herb,Piperia,elongata,Piperia_elongata
PIEL4,PILA3,Piperia lancifolia Rydb.,NA,Forb/herb,Piperia,lancifolia,Piperia_lancifolia
PIEL4,HAUNE,Habenaria unalascensis (Spreng.) S. Watson ssp. elata (Jeps.) Calder,NA,Forb/herb,Habenaria,unalascensis,Habenaria_unalascensis
PIEL4,PLUNE,Platanthera unalascensis (Spreng.) Kurtz ssp. elata (Jeps.) Roy L. Taylor & MacBryde,NA,Forb/herb,Platanthera,unalascensis,Platanthera_unalascensis
PIEL4,HAUNE2,Habenaria unalascensis (Spreng.) S. Watson var. elata (Jeps.) Correll,NA,Forb/herb,Habenaria,unalascensis,Habenaria_unalascensis
PIEL4,PILO2,Piperia longispica Durand,NA,Forb/herb,Piperia,longispica,Piperia_longispica
PILE3,NA,Piperia leptopetala Rydb.,narrow-petal rein orchid,Forb/herb,Piperia,leptopetala,Piperia_leptopetala
PIMI6,PIELM,Piperia elongata Rydb. ssp. michaelii (Greene) Ackerman,NA,Forb/herb,Piperia,elongata,Piperia_elongata
PIMI6,NA,Piperia michaelii (Greene) Rydb.,Michael's piperia,Forb/herb,Piperia,michaelii,Piperia_michaelii
PIMI6,HAMI3,Habenaria michaelii Greene,NA,Forb/herb,Habenaria,michaelii,Habenaria_michaelii
PITR3,NA,Piperia transversa Suksd.,royal rein orchid,Forb/herb,Piperia,transversa,Piperia_transversa
PIUN3,SPUN,Spiranthes unalascensis Spreng.,NA,Forb/herb,Spiranthes,unalascensis,Spiranthes_unalascensis
PIUN3,PLUN3,Platanthera unalascensis (Spreng.) Kurtz,NA,Forb/herb,Platanthera,unalascensis,Platanthera_unalascensis
PIUN3,NA,Piperia unalascensis (Spreng.) Rydb.,slender-spire orchid,Forb/herb,Piperia,unalascensis,Piperia_unalascensis
PIUN3,PLCO7,Platanthera cooperi (S. Watson) Rydb.,NA,Forb/herb,Platanthera,cooperi,Platanthera_cooperi
PIUN3,HAUN,Habenaria unalascensis (Spreng.) S. Watson,NA,Forb/herb,Habenaria,unalascensis,Habenaria_unalascensis
PIYA,NA,Piperia yadonii R. Morgan & Ackerman,Yadon's piperia,Forb/herb,Piperia,yadonii,Piperia_yadonii
PICI,NA,Piriqueta cistoides (L.) Griseb.,pitted stripeseed,Forb/herb,Piriqueta,cistoides,Piriqueta_cistoides
PICIC,PICAE,Piriqueta caroliniana (Walter) Urb. var. exasperata Urb.,NA,Forb/herb,Piriqueta,caroliniana,Piriqueta_caroliniana
PICIC,PICAV,Piriqueta caroliniana (Walter) Urb. var. viridis (Small) G.S. Torr.,NA,Forb/herb,Piriqueta,caroliniana,Piriqueta_caroliniana
PICIC,PICAG,Piriqueta caroliniana (Walter) Urb. var. glabra (DC.) Urb.,NA,Forb/herb,Piriqueta,caroliniana,Piriqueta_caroliniana
PICIC,NA,Piriqueta cistoides (L.) Griseb. ssp. caroliniana (Walter) Arbo,pitted stripeseed,Forb/herb,Piriqueta,cistoides,Piriqueta_cistoides
PICIC,PICAT,Piriqueta caroliniana (Walter) Urb. var. tomentosa Urb.,NA,Forb/herb,Piriqueta,caroliniana,Piriqueta_caroliniana
PICIC,PITO3,"Piriqueta tomentosa sensu Small, non Kunth",NA,Forb/herb,Piriqueta,tomentosa,Piriqueta_tomentosa
PICIC,PITR5,Piriqueta tracyi Gandog.,NA,Forb/herb,Piriqueta,tracyi,Piriqueta_tracyi
PICIC,PICA6,Piriqueta caroliniana (Walter) Urb.,NA,Forb/herb,Piriqueta,caroliniana,Piriqueta_caroliniana
PICIC,PIGL6,Piriqueta glabrescens Small,NA,Forb/herb,Piriqueta,glabrescens,Piriqueta_glabrescens
PICIC,PIVI6,Piriqueta viridis Small,NA,Forb/herb,Piriqueta,viridis,Piriqueta_viridis
PICIC2,NA,Piriqueta cistoides (L.) Griseb. ssp. cistoides,pitted stripeseed,Forb/herb,Piriqueta,cistoides,Piriqueta_cistoides
PICIC2,TUCI,Turnera cistoides L.,NA,Forb/herb,Turnera,cistoides,Turnera_cistoides
PIRA4,NA,Piriqueta racemosa (Jacq.) Sweet,rigid stripeseed,Forb/herb,Piriqueta,racemosa,Piriqueta_racemosa
PIRA4,TUOV,Turnera ovata Bello,NA,Forb/herb,Turnera,ovata,Turnera_ovata
PIRA4,PIOV,Piriqueta ovata (Bello) Urb.,NA,Forb/herb,Piriqueta,ovata,Piriqueta_ovata
PIVI4,NA,Piriqueta viscosa Griseb.,purple stripeseed,Forb/herb,Piriqueta,viscosa,Piriqueta_viscosa
PIST2,NA,Pistia stratiotes L.,water lettuce,Forb/herb,Pistia,stratiotes,Pistia_stratiotes
PIFU,NA,Pisum fulvum Sm.,tawny pea,Forb/herb,Pisum,fulvum,Pisum_fulvum
PISA6,NA,Pisum sativum L.,garden pea,Forb/herb,Pisum,sativum,Pisum_sativum
PISA6,PIAR6,Pisum arvense L.,NA,Forb/herb,Pisum,arvense,Pisum_arvense
PISA6,PIHU2,Pisum humile Boiss. & Noe,NA,Forb/herb,Pisum,humile,Pisum_humile
PISA6,PISAA2,Pisum sativum L. ssp. arvense (L.) Poir.,NA,Forb/herb,Pisum,sativum,Pisum_sativum
PISA6,PISAH,Pisum sativum L. var. humile Poir.,NA,Forb/herb,Pisum,sativum,Pisum_sativum
PISA6,PISAA8,Pisum sativum L. var. arvense (L.) Poir.,NA,Forb/herb,Pisum,sativum,Pisum_sativum
PISA6,PISAM,Pisum sativum L. var. macrocarpon Ser.,NA,Forb/herb,Pisum,sativum,Pisum_sativum
PIAN,NA,Pitcairnia angustifolia Aiton,pina cortadora,Forb/herb,Pitcairnia,angustifolia,Pitcairnia_angustifolia
PIAN,PILA6,Pitcairnia latifolia Aiton,NA,Forb/herb,Pitcairnia,latifolia,Pitcairnia_latifolia
PIANA,NA,Pitcairnia angustifolia Aiton var. angustifolia,erizo,Forb/herb,Pitcairnia,angustifolia,Pitcairnia_angustifolia
PIANS,NA,Pitcairnia angustifolia Aiton var. simplicior Proctor & Cedeño-Mald.,NA,Forb/herb,Pitcairnia,angustifolia,Pitcairnia_angustifolia
PIAS2,NA,Pityopsis aspera (Shuttlw. ex Small) Small,pineland silkgrass,Forb/herb,Pityopsis,aspera,Pityopsis_aspera
PIASA,NA,Pityopsis aspera (Shuttlw. ex Small) Small var. adenolepis (Fernald) Semple & F.D. Bowers,Carolina silkgrass,Forb/herb,Pityopsis,aspera,Pityopsis_aspera
PIASA,CHAD4,Chrysopsis adenolepis Fernald,NA,Forb/herb,Chrysopsis,adenolepis,Chrysopsis_adenolepis
PIASA,PIAD2,Pityopsis adenolepis (Fernald) Semple,NA,Forb/herb,Pityopsis,adenolepis,Pityopsis_adenolepis
PIASA,HEAD2,Heterotheca adenolepis (Fernald) H.E. Ahles,NA,Forb/herb,Heterotheca,adenolepis,Heterotheca_adenolepis
PIASA2,NA,Pityopsis aspera (Shuttlw. ex Small) Small var. aspera,pineland silkgrass,Forb/herb,Pityopsis,aspera,Pityopsis_aspera
PIASA2,HEAS,Heterotheca aspera (Shuttlw. ex Small) Shinners,NA,Forb/herb,Heterotheca,aspera,Heterotheca_aspera
PIASA2,CHAS3,Chrysopsis aspera Shuttlw. ex Small,NA,Forb/herb,Chrysopsis,aspera,Chrysopsis_aspera
PIASA2,CHGRA3,Chrysopsis graminifolia (Michx.) Elliott var. aspera (Shuttlw. ex Small) A. Gray,NA,Forb/herb,Chrysopsis,graminifolia,Chrysopsis_graminifolia
PIFA,NA,Pityopsis falcata (Pursh) Nutt.,sickleleaf silkgrass,Forb/herb,Pityopsis,falcata,Pityopsis_falcata
PIFA,CHFA5,Chrysopsis falcata (Pursh) Elliott,NA,Forb/herb,Chrysopsis,falcata,Chrysopsis_falcata
PIFA,HEFA3,Heterotheca falcata (Pursh) V.L. Harms,NA,Forb/herb,Heterotheca,falcata,Heterotheca_falcata
PIFL5,CHFL5,Chrysopsis flexuosa Nash,NA,Forb/herb,Chrysopsis,flexuosa,Chrysopsis_flexuosa
PIFL5,NA,Pityopsis flexuosa (Nash) Small,zigzag silkgrass,Forb/herb,Pityopsis,flexuosa,Pityopsis_flexuosa
PIFL5,HEFL7,Heterotheca flexuosa (Nash) V.L. Harms,NA,Forb/herb,Heterotheca,flexuosa,Heterotheca_flexuosa
PIGR4,NA,Pityopsis graminifolia (Michx.) Nutt.,narrowleaf silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRA,NA,Pityopsis graminifolia (Michx.) Nutt. var. aequilifolia Semple & F.D. Bowers,narrowleaf silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRG,NA,Pityopsis graminifolia (Michx.) Nutt. var. graminifolia,narrowleaf silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRG,CHNE11,Chrysopsis nervosa (Willd.) Fernald,NA,Forb/herb,Chrysopsis,nervosa,Chrysopsis_nervosa
PIGRG,CHGR14,Chrysopsis graminifolia (Michx.) Elliott,NA,Forb/herb,Chrysopsis,graminifolia,Chrysopsis_graminifolia
PIGRG,HENE3,Heterotheca nervosa (Willd.) Shinners,NA,Forb/herb,Heterotheca,nervosa,Heterotheca_nervosa
PIGRG,HEGR10,Heterotheca graminifolia (Michx.) Shinners,NA,Forb/herb,Heterotheca,graminifolia,Heterotheca_graminifolia
PIGRG,HECO16,Heterotheca correllii (Fernald) H.E. Ahles,NA,Forb/herb,Heterotheca,correllii,Heterotheca_correllii
PIGRL,CHGRL,Chrysopsis graminifolia (Michx.) Elliott var. latifolia Fernald,NA,Forb/herb,Chrysopsis,graminifolia,Chrysopsis_graminifolia
PIGRL,NA,Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers,narrowleaf silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRT,HEGRT3,Heterotheca graminifolia (Michx.) Shinners var. tenuifolia (Torr.) Gandhi & R.D. Thomas,NA,Forb/herb,Heterotheca,graminifolia,Heterotheca_graminifolia
PIGRT,NA,Pityopsis graminifolia (Michx.) Nutt. var. tenuifolia (Torr.) Semple & F.D. Bowers,narrowleaf silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRT,CHMI12,Chrysopsis microcephala Small,NA,Forb/herb,Chrysopsis,microcephala,Chrysopsis_microcephala
PIGRT,CHGRM,Chrysopsis graminifolia (Michx.) Elliott var. microcephala (Small) Cronquist,NA,Forb/herb,Chrysopsis,graminifolia,Chrysopsis_graminifolia
PIGRT,HEMI12,Heterotheca microcephala (Small) Shinners,NA,Forb/herb,Heterotheca,microcephala,Heterotheca_microcephala
PIGRT,PIMI4,Pityopsis microcephala (Small) Small,NA,Forb/herb,Pityopsis,microcephala,Pityopsis_microcephala
PIGRT,HENEM,Heterotheca nervosa (Willd.) Shinners var. microcephala (Small) Shinners ex H.E. Ahles,NA,Forb/herb,Heterotheca,nervosa,Heterotheca_nervosa
PIGRT,PIGRM,Pityopsis graminifolia (Michx.) Nutt. var. microcephala (Small) Semple,NA,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRT2,NA,Pityopsis graminifolia (Michx.) Nutt. var. tracyi (Small) Semple,Tracy's silkgrass,Forb/herb,Pityopsis,graminifolia,Pityopsis_graminifolia
PIGRT2,HEGRT2,Heterotheca graminifolia (Michx.) Shinners var. tracyi (Small) R.W. Long,NA,Forb/herb,Heterotheca,graminifolia,Heterotheca_graminifolia
PIGRT2,CHTR8,Chrysopsis tracyi Small,NA,Forb/herb,Chrysopsis,tracyi,Chrysopsis_tracyi
PIGRT2,PITR6,Pityopsis tracyi (Small) Small,NA,Forb/herb,Pityopsis,tracyi,Pityopsis_tracyi
PIOL,CHOL4,Chrysopsis oligantha Chapm. ex Torr. & A. Gray,NA,Forb/herb,Chrysopsis,oligantha,Chrysopsis_oligantha
PIOL,NA,Pityopsis oligantha (Chapm. ex Torr. & A. Gray) Small,grassleaf goldaster,Forb/herb,Pityopsis,oligantha,Pityopsis_oligantha
PIOL,HEOL,Heterotheca oligantha (Chapm. ex Torr. & A. Gray) V.L. Harms,NA,Forb/herb,Heterotheca,oligantha,Heterotheca_oligantha
PIPI4,CHPI7,Chrysopsis pinifolia Elliott,NA,Forb/herb,Chrysopsis,pinifolia,Chrysopsis_pinifolia
PIPI4,NA,Pityopsis pinifolia (Elliott) Nutt.,Taylor County goldaster,Forb/herb,Pityopsis,pinifolia,Pityopsis_pinifolia
PIPI4,HEPI6,Heterotheca pinifolia (Elliott) H.E. Ahles,NA,Forb/herb,Heterotheca,pinifolia,Heterotheca_pinifolia
PIRU3,NA,Pityopsis ruthii (Small) Small,Ruth's goldaster,Forb/herb,Pityopsis,ruthii,Pityopsis_ruthii
PIRU3,CHRU3,Chrysopsis ruthii Small,NA,Forb/herb,Chrysopsis,ruthii,Chrysopsis_ruthii
PIRU3,HERU2,Heterotheca ruthii (Small) V.L. Harms,NA,Forb/herb,Heterotheca,ruthii,Heterotheca_ruthii
PICA9,NA,Pityopus californica (Eastw.) Copeland f.,California pinefoot,Forb/herb,Pityopus,californica,Pityopus_californica
PIAU4,NA,Pityrogramma austroamericana Domin,leatherleaf goldback fern,Forb/herb,Pityrogramma,austroamericana,Pityrogramma_austroamericana
PIAU4,PICAA,Pityrogramma calomelanos (L.) Link var. aureoflava (Hook.) Weath. ex L.H. Bailey,NA,Forb/herb,Pityrogramma,calomelanos,Pityrogramma_calomelanos
PIAU4,PICAA2,Pityrogramma calomelanos (L.) Link var. austroamericana (Domin) Farw.,NA,Forb/herb,Pityrogramma,calomelanos,Pityrogramma_calomelanos
PICA4,NA,Pityrogramma calomelanos (L.) Link,Dixie silverback fern,Forb/herb,Pityrogramma,calomelanos,Pityrogramma_calomelanos
PICH,NA,Pityrogramma chrysophylla (Sw.) Link,island goldback fern,Forb/herb,Pityrogramma,chrysophylla,Pityrogramma_chrysophylla
PICHG,NA,Pityrogramma chrysophylla (Sw.) Link var. gabrielae Domin,island goldback fern,Forb/herb,Pityrogramma,chrysophylla,Pityrogramma_chrysophylla
PICHS,NA,Pityrogramma chrysophylla (Sw.) Link var. subflexuosa (Domin) Proctor,island goldback fern,Forb/herb,Pityrogramma,chrysophylla,Pityrogramma_chrysophylla
PICHS,PISU4,Pityrogramma subflexuosa Domin,NA,Forb/herb,Pityrogramma,subflexuosa,Pityrogramma_subflexuosa
PIEB,PITA3,Pityrogramma tartarea auct. non (Cav.) Maxon,NA,Forb/herb,Pityrogramma,tartarea,Pityrogramma_tartarea
PIEB,NA,Pityrogramma ebenea (L.) Proctor,mountain silverback fern,Forb/herb,Pityrogramma,ebenea,Pityrogramma_ebenea
PIMA12,NA,Pityrogramma ×mackenneyi W.H. Wagner [austroamericana × calomelanos],goldback fern,Forb/herb,Pityrogramma,×mackenneyi,Pityrogramma_×mackenneyi
PISU2,NA,Pityrogramma sulphurea (Sw.) Maxon,Jamaican goldback fern,Forb/herb,Pityrogramma,sulphurea,Pityrogramma_sulphurea
PITR2,NA,Pityrogramma trifoliata (L.) R. Tryon,threeleaf goldback fern,Forb/herb,Pityrogramma,trifoliata,Pityrogramma_trifoliata
PITR2,TRTR9,Trismeria trifoliata (L.) Diels,NA,Forb/herb,Trismeria,trifoliata,Trismeria_trifoliata
PLAC,NA,Plagiobothrys acanthocarpus (Piper) I.M. Johnst.,adobe popcornflower,Forb/herb,Plagiobothrys,acanthocarpus,Plagiobothrys_acanthocarpus
PLAC,ALAC5,Allocarya acanthocarpa Piper,NA,Forb/herb,Allocarya,acanthocarpa,Allocarya_acanthocarpa
PLAR,NA,Plagiobothrys arizonicus (A. Gray) Greene ex A. Gray,Arizona popcornflower,Forb/herb,Plagiobothrys,arizonicus,Plagiobothrys_arizonicus
PLAU,ALAU3,Allocarya austiniae Greene,NA,Forb/herb,Allocarya,austiniae,Allocarya_austiniae
PLAU,NA,Plagiobothrys austiniae (Greene) I.M. Johnst.,Austin's popcornflower,Forb/herb,Plagiobothrys,austiniae,Plagiobothrys_austiniae
PLBR,NA,Plagiobothrys bracteatus (Howell) I.M. Johnst.,bracted popcornflower,Forb/herb,Plagiobothrys,bracteatus,Plagiobothrys_bracteatus
PLBRA,NA,Plagiobothrys bracteatus (Howell) I.M. Johnst. var. aculeolatus (Piper) I.M. Johnst.,bracted popcornflower,Forb/herb,Plagiobothrys,bracteatus,Plagiobothrys_bracteatus
PLBRB,NA,Plagiobothrys bracteatus (Howell) I.M. Johnst. var. bracteatus,bracted popcornflower,Forb/herb,Plagiobothrys,bracteatus,Plagiobothrys_bracteatus
PLBRB,ALBR11,Allocarya bracteata Howell,NA,Forb/herb,Allocarya,bracteata,Allocarya_bracteata
PLCA2,NA,Plagiobothrys canescens Benth.,valley popcornflower,Forb/herb,Plagiobothrys,canescens,Plagiobothrys_canescens
PLCAC3,NA,Plagiobothrys canescens Benth. var. canescens,valley popcornflower,Forb/herb,Plagiobothrys,canescens,Plagiobothrys_canescens
PLCAC4,NA,Plagiobothrys canescens Benth. var. catalinensis (A. Gray) Jeps.,Catalina popcornflower,Forb/herb,Plagiobothrys,canescens,Plagiobothrys_canescens
PLCAC4,PLARC,Plagiobothrys arizonicus (A. Gray) Greene ex A. Gray var. catalinensis A. Gray,NA,Forb/herb,Plagiobothrys,arizonicus,Plagiobothrys_arizonicus
PLCH,NA,Plagiobothrys chorisianus (Cham.) I.M. Johnst.,artist's popcornflower,Forb/herb,Plagiobothrys,chorisianus,Plagiobothrys_chorisianus
PLCHC,NA,Plagiobothrys chorisianus (Cham.) I.M. Johnst. var. chorisianus,artist's popcornflower,Forb/herb,Plagiobothrys,chorisianus,Plagiobothrys_chorisianus
PLCHC,ALCH3,Allocarya chorisiana (Cham.) Greene,NA,Forb/herb,Allocarya,chorisiana,Allocarya_chorisiana
PLCHH,NA,Plagiobothrys chorisianus (Cham.) I.M. Johnst. var. hickmanii (Greene) I.M. Johnst.,Hickman's popcornflower,Forb/herb,Plagiobothrys,chorisianus,Plagiobothrys_chorisianus
PLCHH,ALCHH,Allocarya chorisiana (Cham.) Greene var. hickmanii (Greene) Jeps.,NA,Forb/herb,Allocarya,chorisiana,Allocarya_chorisiana
PLCO13,NA,Plagiobothrys collinus (Phil.) I.M. Johnst.,Cooper's popcornflower,Forb/herb,Plagiobothrys,collinus,Plagiobothrys_collinus
PLCOC,NA,Plagiobothrys collinus (Phil.) I.M. Johnst. var. californicus (A. Gray) L.C. Higgins,Cooper's popcornflower,Forb/herb,Plagiobothrys,collinus,Plagiobothrys_collinus
PLCOC,ALCO9,Allocarya cooperi Greene,NA,Forb/herb,Allocarya,cooperi,Allocarya_cooperi
PLCOC,ALCAM3,Allocarya californica (Fisch. & C.A. Mey.) Greene var. minuta (Piper) Jeps. & Hoover,NA,Forb/herb,Allocarya,californica,Allocarya_californica
PLCOC,PLCA,Plagiobothrys californicus (A. Gray) Greene,NA,Forb/herb,Plagiobothrys,californicus,Plagiobothrys_californicus
PLCOC,ECCA,Echidiocarya californica A. Gray,NA,Forb/herb,Echidiocarya,californica,Echidiocarya_californica
PLCOF,ECCAF,Echidiocarya californica A. Gray ssp. fulvescens (I.M. Johnst.) Abrams,NA,Forb/herb,Echidiocarya,californica,Echidiocarya_californica
PLCOF,NA,Plagiobothrys collinus (Phil.) I.M. Johnst. var. fulvescens (I.M. Johnst.) L.C. Higgins,Cooper's popcornflower,Forb/herb,Plagiobothrys,collinus,Plagiobothrys_collinus
PLCOF,PLCAF,Plagiobothrys californicus (A. Gray) Greene var. fulvescens I.M. Johnst.,NA,Forb/herb,Plagiobothrys,californicus,Plagiobothrys_californicus
PLCOG,NA,Plagiobothrys collinus (Phil.) I.M. Johnst. var. gracilis (I.M. Johnst.) L.C. Higgins,Cooper's popcornflower,Forb/herb,Plagiobothrys,collinus,Plagiobothrys_collinus
PLCOG,ECCAG,Echidiocarya californica A. Gray ssp. gracilis (I.M. Johnst.) Abrams,NA,Forb/herb,Echidiocarya,californica,Echidiocarya_californica
PLCOG,PLCAG,Plagiobothrys californicus (A. Gray) Greene var. gracilis I.M. Johnst.,NA,Forb/herb,Plagiobothrys,californicus,Plagiobothrys_californicus
PLCOU,PLCAU,Plagiobothrys californicus (A. Gray) Greene var. ursinus (A. Gray) I.M. Johnst.,NA,Forb/herb,Plagiobothrys,californicus,Plagiobothrys_californicus
PLCOU,NA,Plagiobothrys collinus (Phil.) I.M. Johnst. var. ursinus (A. Gray) L.C. Higgins,Cooper's popcornflower,Forb/herb,Plagiobothrys,collinus,Plagiobothrys_collinus
PLCOU,ECCAU,Echidiocarya californica A. Gray var. ursina (A. Gray) Jeps.,NA,Forb/herb,Echidiocarya,californica,Echidiocarya_californica
PLDI2,NA,Plagiobothrys distantiflorus (Piper) I.M. Johnst. ex M. Peck,California popcornflower,Forb/herb,Plagiobothrys,distantiflorus,Plagiobothrys_distantiflorus
PLFI,NA,Plagiobothrys figuratus (Piper) I.M. Johnst. ex M. Peck,fragrant popcornflower,Forb/herb,Plagiobothrys,figuratus,Plagiobothrys_figuratus
PLFIC,NA,Plagiobothrys figuratus (Piper) I.M. Johnst. ex M. Peck ssp. corallicarpus (Piper) K.L. Chambers,fragrant popcornflower,Forb/herb,Plagiobothrys,figuratus,Plagiobothrys_figuratus
PLFIC,ALHIC,Allocarya hirta Greene ssp. corallicarpa (Piper) Abrams,NA,Forb/herb,Allocarya,hirta,Allocarya_hirta
PLFIC,PLHIC,Plagiobothrys hirtus (Greene) I.M. Johnst. var. corallicarpus (Piper) I.M. Johnst.,NA,Forb/herb,Plagiobothrys,hirtus,Plagiobothrys_hirtus
PLFIF,NA,Plagiobothrys figuratus (Piper) I.M. Johnst. ex M. Peck ssp. figuratus,fragrant popcornflower,Forb/herb,Plagiobothrys,figuratus,Plagiobothrys_figuratus
PLFIF,ALFI7,Allocarya figurata Piper,NA,Forb/herb,Allocarya,figurata,Allocarya_figurata
PLFIF,PLHIF,Plagiobothrys hirtus (Greene) I.M. Johnst. var. figuratus (Piper) I.M. Johnst.,NA,Forb/herb,Plagiobothrys,hirtus,Plagiobothrys_hirtus
