Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,growth_habit,genus_name,species_name,smp_name
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,NA,Forb/herb,Achillea,laxiflora,Achillea_laxiflora
ACMIO,ACLA5,Achillea lanulosa Nutt.,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,NA,Forb/herb,Achillea,lanulosa,Achillea_lanulosa
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",NA,Forb/herb,Achillea,tomentosa,Achillea_tomentosa
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,NA,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,NA,Forb/herb,Achillea,occidentalis,Achillea_occidentalis
ACMIO,ACRO4,Achillea rosea Desf.,NA,Forb/herb,Achillea,rosea,Achillea_rosea
ACMIP,NA,Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones,Pacific yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIP,ACPA5,Achillea pacifica Rydb.,NA,Forb/herb,Achillea,pacifica,Achillea_pacifica
ACMIP2,NA,Achillea millefolium L. var. puberula (Rydb.) Nobs,common yarrow,Forb/herb,Achillea,millefolium,Achillea_millefolium
ACMIP2,ACPU2,Achillea puberula Rydb.,NA,Forb/herb,Achillea,puberula,Achillea_puberula
ACNO,NA,Achillea nobilis L.,noble yarrow,Forb/herb,Achillea,nobilis,Achillea_nobilis
ACPA11,NA,Achillea pannonica Scheele,yarrow,Forb/herb,Achillea,pannonica,Achillea_pannonica
ACPT,NA,Achillea ptarmica L.,sneezeweed,Forb/herb,Achillea,ptarmica,Achillea_ptarmica
ACSI,NA,Achillea sibirica Ledeb.,Siberian yarrow,Forb/herb,Achillea,sibirica,Achillea_sibirica
ACSI,ACMU3,Achillea multiflora Hook.,NA,Forb/herb,Achillea,multiflora,Achillea_multiflora
ACCA6,NA,Achlys californica I. Fukuda & H.G. Baker,deer's foot,Forb/herb,Achlys,californica,Achlys_californica
ACTR,ACTRT,Achlys triphylla (Sm.) DC. ssp. triphylla,NA,Forb/herb,Achlys,triphylla,Achlys_triphylla
ACTR,NA,Achlys triphylla (Sm.) DC.,sweet after death,Forb/herb,Achlys,triphylla,Achlys_triphylla
ACMO2,NA,Achyrachaena mollis Schauer,blow wives,Forb/herb,Achyrachaena,mollis,Achyrachaena_mollis
ACAS,ACCA37,Achyranthes canescens R. Br.,NA,Forb/herb,Achyranthes,canescens,Achyranthes_canescens
ACAS,NA,Achyranthes aspera L.,devil's horsewhip,Forb/herb,Achyranthes,aspera,Achyranthes_aspera
ACASA,NA,Achyranthes aspera L. var. aspera,devil's horsewhip,Forb/herb,Achyranthes,aspera,Achyranthes_aspera
ACASA,CEIN6,Centrostachys indica (L.) Standl.,NA,Forb/herb,Centrostachys,indica,Centrostachys_indica
ACASA,ACIN4,Achyranthes indica (L.) Mill.,NA,Forb/herb,Achyranthes,indica,Achyranthes_indica
ACASA,CEAS3,Centrostachys aspera (L.) Standl.,NA,Forb/herb,Centrostachys,aspera,Centrostachys_aspera
ACASP,NA,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Forb/herb,Achyranthes,aspera,Achyranthes_aspera
ACJA,NA,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,Forb/herb,Achyranthes,japonica,Achyranthes_japonica
ACJAH,NA,Achyranthes japonica (Miq.) Nakai var. hachijoensis Honda,Japanese chaff flower,Forb/herb,Achyranthes,japonica,Achyranthes_japonica
ACCO3,NA,Achyronychia cooperi Torr. & A. Gray,onyxflower,Forb/herb,Achyronychia,cooperi,Achyronychia_cooperi
ACTR2,NA,Acicarpha tribuloides Juss.,madam gorgon,Forb/herb,Acicarpha,tribuloides,Acicarpha_tribuloides
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,NA,Forb/herb,Clinopodium,acinos,Clinopodium_acinos
ACAR2,NA,Acinos arvensis (Lam.) Dandy,basil thyme,Forb/herb,Acinos,arvensis,Acinos_arvensis
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,NA,Forb/herb,Calamintha,acinos,Calamintha_acinos
ACAR2,ACTH3,Acinos thymoides (L.) Moench,NA,Forb/herb,Acinos,thymoides,Acinos_thymoides
ACAR2,SAAC,Satureja acinos (L.) Scheele,NA,Forb/herb,Satureja,acinos,Satureja_acinos
ACQU,ACAC4,"Acisanthera acisanthera (L.) Britton, nom. inval.",NA,Forb/herb,Acisanthera,acisanthera,Acisanthera_acisanthera
